;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: J. Verhagen;;;;;;
Locatie: Regenboog;;;Juli 2015;;;;;;
Adres: Lijsterlaan 2, Oss;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;;Brandslanghaspel 1;EA;Achter BSH;a;;;
2;B.G.;;Brandslanghaspel 4;EA;Achter BSH;a;;;
3;B.G.;;Brandslanghaspel 6;EA;Achter BSH;a;;;
4;B.G.;;Brandslanghaspel 8;EA;Achter BSH;a;;;
5;B.G.;;Brandslanghaspel 10;EA;Achter BSH;a;;;
6;1e verd.;;Brandslanghaspel 11;EA;Achter BSH;a;;;
7;1e verd.;;Brandslanghaspel 13;EA;Achter BSH;a;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
