;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: J. Nederkoorn;;;;;;
Locatie: Vortex De Klok;;;Week 6 2015;;;;;;
Adres: Energieweg 19b, Venray ;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Meterkast buiten;Voeding koudwater;EA;In meterkast;a;1 1/4";Schroef;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
