;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: Marty Gutte;;;;;;
Locatie: Zuster Franciscanessen;;;Datum: april 2015;;;;;;
Adres: Hoge Ham 25, Dongen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Gang werkkast 060;Brandslanghaspel;;;a;;;
2;B.G.;Gang bij afwaskeuken 059;Brandslanghaspel;;;a;;;
3;B.G.;Gang bij kamer 072;Brandslanghaspel;;;a;;;
4;B.G.;Rechts van kapel;Buitenkraan;EA;;a;;;
5;B.G.;Bij wc kapel;Buitenkraan;;;a;;;
7;B.G.;Gang bij kamer 076;Brandslanghaspel;;;a;;;
8;B.G.;Gang bij kamer 082;Brandslanghaspel;;;a;;;
9;B.G.;Gang bij kamer 039;Brandslanghaspel;;;a;;;
10;B.G.;Hal bij receptie;Brandslanghaspel;;;a;;;
11;B.G.;Koffiekamer bij receptie;Koffieautomaat;EA;;a;;;
12;B.G.;Achter spoelruimte 099;Buitenkraan;;;a;;;
13;B.G.;Bij eetzaal 063;Brandslanghaspel;;;a;;;
14;B.G.;Bij wc 023;Brandslanghaspel;;;a;;;
15;B.G.;Dienstkeuken;Buitenkraan;;;a;;;
16;B.G.;Dienstkeuken;Koffieautomaat;EA;;a;Ø15;knel;
17;B.G.;Magazijn keuken;Koffieautomaat;EA;;a;Ø15;knel;
18;B.G.;Keuken;Steamer;EA;;a;Ø15;knel;
19;B.G.;Keuken;Steamer 1;EA;;a;Ø15;knel;
20;B.G.;Keuken;Steamer 2;EA;;a;Ø15;knel;
21;B.G.;Keuken;Steamer 2;EA;;a;Ø15;knel;
22;B.G.;Keuken;Spoelkraan kw;EA;;a;Ø15;knel;
23;B.G.;Keuken;Spoelkraan ww;EA;;a;Ø15;knel;
23a;B.G.;Keuken;Spoeller;CA;;a;Ø15;knel;
24;-1;Kelder technische ruimte;Vulkraan;EA;onder kraan;a;;;
25;-1;Kelder technische ruimte;Circulatieleiding;EA;;a;;;
26;-1;Kelder technische ruimte;ww leiding boiler;EA;;×;;;
27;-1;Kelder technische ruimte;Toevoer kw boiler;EA;;a;;;
28;-1;Kelder technische ruimte;Bypass ontharder;EA;;a;;;
29;-1;Kelder technische ruimte;Leiding voor buitenkraan;EA;;a;;;
29a;-1;Kelder technische ruimte;Water ontharder;BA;;a;;;
31;1e verd.;Gang bij kamer 156;Brandslanghaspel;;;a;;;
32;1e verd.;Gang bij kamer 161;Brandslanghaspel;;;a;;;
33;1e verd.;Gang bij kamer 168;Brandslanghaspel;;in BSH kast;a;Ø28;knel;
34;1e verd.;Gang bij kamer 172;Brandslanghaspel;;;a;;;
35;1e verd.;Gang bij wc 126;Brandslanghaspel;;;a;;;
36;1e verd.;Gang bij 122 bibliotheek;Brandslanghaspel;;;a;;;
37;1e verd.;Activiteiten begeleiding 120;Koffieautomaat;EA;;a;3/4;schroef;
38;1e verd.;Activiteiten begeleiding 120;Boiler inlaatcombi;EA;;a;;;
39;1e verd.;Gang bij kamer 106;Brandslanghaspel;;;a;;;
40;2e verd.;Zolder technische ruimte;Vulkraan;CA;;a;;;
41;2e verd.;Zolderopslag bij technische ruimte;Brandslanghaspel;EA;;a;;;
42;2e verd.;Zolderopslag bij doorgang;Brandslanghaspel;;;a;;;
43;2e verd.;Zolder bij kamer de engel;Brandslanghaspel;;;a;;;
44;B.G.;Achter in kapel links;Boiler inlaatcombi;EA;;a;;;
45;2e verd.;Bij ketelhuis op zolder;Circulatieleiding;EA;boven deur;a;;;
46;1e verd.;Kantine;Koffieautomaat;EA;in keukenkast;a;Ø15;knel;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
26;;Binnenwerk weg i.v.m. stroming boiler;;;;;;;
