;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: John Nederkoorn;;;;;;
Locatie: Zwembad Kwekkelstijn;;;Datum: 19-05-2014 ;;;;;;
Adres: Sportlaan 16 Rosmalen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;ketelhuis;voeding boiler;EA;ketelhuis;JA;35;knel;
2;BG;ketelhuis;aanvoer kw;EA;ketelhuis;JA;54;pers;
3;BG;ketelhuis;circulatie ww;EA;ketelhuis;JA;15;knel;
4;BG;ketelhuis;cv vulkraan;CA;ketelhuis;JA;22;knel;
5;BG;ketelhuis;circulatieboiler;EA;ketelhuis;JA;28;knel;
6;BG;ketelhuis;wasmachine;EA;voeding wm;JA;15;knel;
7;BG;ketelhuis;magneetklep;EA;bij voeding wm;JA;15;knel;
8;BG;kleedruimte;schoonmaakhaspel;EA;onder haspel;JA;22;knel;
9;BG;gang ingang;BSH;EA;onder haspel;JA;22;knel - cap;
10;BG;Horeca;BSH;;;JA;;;
11;BG;Horeca;close in boiler;inlaatcombi;onder werkblad;JA;15;knel;
12;BG;zwembad;BSH;;;JA;;;
13;BG;ketelhuis buiten;circulatieboiler;RAM EA;boven boiler;JA;22;Knel;
14;BG;ketelhuis buiten;oogdouche;EA;boven oogdouche;JA;15;knel;
15;BG;buiten bij ketelhuis;buitenkraan;RAM EA;onder kraan;JA;22;knel;
16;BG;ingang buitenbad;buitenkraan;RAM EA;onder kraan;JA;22;knel;
17;BG;dames wc buitenbad;buitenkraan;RAM EA;onder kraan;JA;22;knel;
18;BG;heren wc buitenbad;buitenkraan;RAM EA;onder kraan;JA;22;knel;
19;BG;terras kinderbad;buitenkraan;RAM EA;onder kraan;JA;22;knel;
20;BG;ketelhuis buitenbad;douches;RAM EA;in ketelhuis buiten;JA;35;pers;
21;BG;keuken horeca;waterontharder;CA;achter waterontharder;JA;15;knel;
22;BG;keuken horeca;vaatwasser;DAEB;in kraan;JA;1/2;schroef;
23;BG;keuken horeca;tapkraan;DAEB;in kraan bij bakplaat;JA;1/2;schroef;
24;BG;horeca bar;ijsmachine;DAEB;in kraan;JA;1/2;schroef;
25;BG;horeca bar;koffiemachine;DAEB;in kast kraan;JA;1/2;schroef;
26;BG;kiosk;boiler;inlaatcombi;onder boiler;JA;15;knel;
27;BG;werkkast instructiebad;tapkraan;DAEB;in kast kraan;JA;1/2;schroef;
28;BG;Ketelhuis;Boiler Links;EA;Onder Bij boiler;NEE;35;CAP;
29;BG;Tech. Ruimte Kelder;Voeding Wasbak;RAM EA;Tegen Plafond;JA;15;Knel;
30;BG;Ketelhuis Buiten;Boiler;Inlaat C.;Boven Boiler;JA;22;Knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
