;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Peka Kroef;;;Naam monteur: J. Nederkoorn;;;;;;
Locatie: Venray Ompak;;;Week: November, 2015;;;;;;
Adres: Metaalweg 10;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
30;B.G.;TD ruimte;Brandslanghaspel;RAM EA;Onder wasbak;a;Ø28;Knel;
26;B.G.;Expeditie ruimte productie;Brandslanghaspel;;;a;;;
31;B.G.;Schoonmaakruimte;Spoelkraan kw;RAM EA;Achter wastrog;a;Ø15;Knel;
32;B.G.;Schoonmaakruimte;Spoelkraan ww;RAM EA;Achter wastrog;a;Ø15;Knel;
33;B.G.;Productiehal;Brandslanghaspel;EA;In gang 1e verdieping;a;1";Schroef;
27;B.G.;Laadperron vracht;Brandslanghaspel;EA;In gang 1e verdieping;a;1";Schroef;
25;B.G.;Expeditie H. care;Brandslanghaspel;EA;In gang 1e verdieping;a;1";Schroef;
28;B.G.;Hal bij toiletten;Brandslanghaspel;EA;Tegen plafond;a;Ø22;Knel;
21;1e verd.;Kantine;Koffieautomaat;RAM EA;;a;Ø15;Knel;
23;1e verd.;Kantine;Vaatwasser;EA;;a;3/4'';Schroef;
29;B.G.;CV pompruimte;CV vulkraan;CA;Achter ww voorraadvat;a;Ø15;Knel;
24;B.G.;Pompreinigingsruimte;Circulatie;EB;Onder cv ketel;a;;;
22;B.G.;Kantoor gebouw TD;CV vulkraan;EA;Onder kraan;a;3/4";Schroef;
26a;B.G.;Expeditie hal;Tapkraan;EA;In hal;a;1/2'';Schroef;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
;;;;;;;;;
