;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: QRS;;;Naam monteur: J. Verhagen;;;;;;
Locatie: -;;;mei-15;;;;;;
Adres: Randmeer 12, Oss;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Hal technische ruimte;Buitenkraan;EA;voor buitenkraan;a;Ø15;knel;
2;B.G.;Hal BSH1 ;Brandslanghaspel;EA;voor BSH;a;;;
3;B.G.;Hal BSH2;Brandslanghaspel;EA;voor BSH;a;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
