;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: M. Gutte;;;;;;
Locatie: Bosweg;;;Week 20, 2015;;;;;;
Adres: Bosweg 250, Nijmegen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Gang A;Brandslanghaspel;;;a;;;
2;1e verd.;Gang C;Brandslanghaspel;;;a;;;
3;1e verd.;Gang C bij 20;Brandslanghaspel;;;a;;;
4;1e verd.;Gang B bij 22;Brandslanghaspel;;;a;;;
5;2e verd.;Gang D;Brandslanghaspel;;;a;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
