;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: M. Gutte;;;;;;
Locatie: De Honinghoeve;;;Week 23, 2015;;;;;;
Adres: Albanystraat 7, Nijmegen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;8;Ketelhuis;Brandslanghaspel;EA;Aan plafond;a;Ø22;knel;
2;7;Gang;Brandslanghaspel;;;a;;;
3;6;Gang;Brandslanghaspel;;;a;;;
4;5;Gang;Brandslanghaspel;;;a;;;
5;4;Gang;Brandslanghaspel;;;a;;;
6;3;Gang;Brandslanghaspel;;;a;;;
7;2;Gang;Brandslanghaspel;;;a;;;
8;1;Gang;Brandslanghaspel;;;a;;;
9;3e verd.;TD werkplaats;Brandslanghaspel;EA;Aan plafond;a;Ø22;knel;
10;3e verd.;Luchtbehandeling;Brandslanghaspel;EA;Aan plafond;a;Ø22;knel;
11;2e verd.;Bloemshof gang;Brandslanghaspel;;;a;;;
12;2e verd.;Kruidentuin;Brandslanghaspel;;;a;;;
13;2e verd.;Boomgaard;Brandslanghaspel;;;a;;;
14;1e verd.;Acaciahof;Brandslanghaspel;;;a;;;
15;1e verd.;Heideveld;Brandslanghaspel;;;a;;;
16;1e verd.;Klaverdal;Brandslanghaspel;;;a;;;
17;B.G.;Appartementen;Brandslanghaspel;;;a;;;
18;B.G.;Wachtruimte trombose dienst;Brandslanghaspel;;;a;;;
19;B.G.;Receptie;Brandslanghaspel;;;a;;;
20;B.G.;Kantoor gang;Brandslanghaspel;;;a;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
