;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: M. Gutte;;;;;;
Locatie: Joachim & Anna;;;Week 20, 2015;;;;;;
Adres: Groesbeekseweg 327, Nijmegen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Bij receptie;Brandslanghaspel;;;a;;;
2;B.G.;Tegenover H.01;Brandslanghaspel;EA;in BSH kast;a;Ø22;Knel;
3;B.G.;Bij technische ruimte 33;Brandslanghaspel;EA;in BSH kast;a;Ø22;Knel;
4;B.G.;Gang bij keukentje;Brandslanghaspel;EA;in BSH kast;a;Ø22;Knel;
5;B.G.;Gang bij kamer 07;Brandslanghaspel;EA;in BSH kast;a;Ø22;Knel;
6;B.G.;Dolfijn kamer 22;Brandslanghaspel;EA;in BSH kast;a;Ø22;Knel;
7;B.G.;Eekhoorn bij kamer 31;Brandslanghaspel;EA;in BSH kast;a;Ø22;Knel;
8;B.G.;Eekhoorn bij kmaer 58;Brandslanghaspel;EA;in BSH kast;a;Ø22;Knel;
9;B.G.;Pimpelmees tegenover kamer 12;Brandslanghaspel;EA;in BSH kast;a;Ø22;Knel;
10;B.G.;Pimpelmees tegenover kamer 24;Brandslanghaspel;EA;in BSH kast;a;Ø22;Knel;
11;B.G.;De brug bij 39;Brandslanghaspel;EA;in BSH kast;a;Ø22;Knel;
12;B.G.;De brug bij 29;Brandslanghaspel;EA;in BSH kast;a;Ø22;Knel;
13;B.G.;De brug bij 56;Brandslanghaspel;EA;in BSH kast;a;Ø22;Knel;
14;B.G.;Bij winkeltje;Brandslanghaspel;EA;in BSH kast;a;Ø22;Knel;
15;B.G.;Bij keuken de linnenkamer;Brandslanghaspel;EA;;a;;;
16;B.G.;Keuken achter;Brandslanghaspel;;;×;;;
17;B.G.;Restaurant;Brandslanghaspel;;;a;;;
18;B.G.;Lift bij keuken;Brandslanghaspel;;;a;;;
19;B.G.;Gang de Linde;Brandslanghaspel;EA;plafond;a;Ø22;Knel;
20;B.G.;Gang Hospice;Brandslanghaspel;EA;plafond;a;Ø22;Knel;
21;B.G.;Gang de Linde bij 42;Brandslanghaspel;EA;plafond;a;Ø22;Knel;
22;B.G.;Gang Eik tegenover 39;Brandslanghaspel;EA;plafond;a;Ø22;Knel;
23;B.G.;Gang kastanje;Brandslanghaspel;;;a;;;
24;B.G.;Gang kastanje bij 87;Brandslanghaspel;EA;plafond wc;a;Ø22;Knel;
25;B.G.;Gang kastanje bij 71;Brandslanghaspel;EA;plafond;a;Ø22;Knel;
25;B.G.;Gang kastanje bij 52;Brandslanghaspel;EA;plafond;a;Ø22;Knel;
26;1e verd.;Gang bij 0.4;Brandslanghaspel;EA;in BSH kast;a;Ø22;Knel;
27;1e verd.;Technische dienst;Brandslanghaspel;;;×;;;
28;1e verd.;Harp bij 0.7;Brandslanghaspel;EA;in BSH kast;a;Ø22;Knel;
29;1e verd.;Harp bij 20;Brandslanghaspel;EA;in BSH kast;a;Ø22;Knel;
30;1e verd.;Gang naar kapsalon;Brandslanghaspel;EA;in BSH kast;a;Ø22;Knel;
31;1e verd.;Gang bij klarinet 33;Brandslanghaspel;EA;in BSH kast;a;Ø22;Knel;
32;1e verd.;Gang klarinet bij 54;Brandslanghaspel;EA;in BSH kast;a;Ø22;Knel;
33;1e verd.;Gang bij tandartsen;Brandslanghaspel;EA;in BSH kast;a;Ø22;Knel;
34;1e verd.;Gang waterlelie bij 0.7;Brandslanghaspel;EA;in BSH kast;a;Ø22;Knel;
35;1e verd.;Gang waterlelie bij 22;Brandslanghaspel;EA;in BSH kast;a;Ø22;Knel;
36;1e verd.;Gang bij technische ruimte 43;Brandslanghaspel;EA;in BSH kast;a;Ø22;Knel;
37;1e verd.;Iris bij 33;Brandslanghaspel;EA;in BSH kast;a;Ø22;Knel;
38;1e verd.;Iris bij 56;Brandslanghaspel;EA;in BSH kast;a;Ø22;Knel;
39;1e verd.;Bij trappenhuis fysio;Brandslanghaspel;EA;in BSH kast;×;Ø22;Cap;
40;1e verd.;Gang linnenberg/jasmijn;Brandslanghaspel;;;a;;;
41;1e verd.;Gang jasmijn tegenover 38;Brandslanghaspel;EA;in plafond;a;Ø22;Knel;
42;1e verd.;Gang jasmijn tegenover huiskamer;Brandslanghaspel;;;a;;;
43;1e verd.;Jasmijn bij 17;Brandslanghaspel;EA;in plafond;a;Ø22;Knel;
44;1e verd.;Tegenover huiskamer sering;Brandslanghaspel;;;a;;;
45;1e verd.;Sering bij 53;Brandslanghaspel;EA;in plafond;a;Ø22;Knel;
46;1e verd.;Sering bij 48;Brandslanghaspel;EA;in plafond;a;Ø22;Knel;
47;1e verd.;Kapel;Brandslanghaspel;EA;in BSH kast;a;Ø22;Cap;
48;2e verd.;Gang bij 0.7;Brandslanghaspel;EA;in BSH kast;a;Ø22;Cap;
49;B.G.;De boog;Brandslanghaspel;;;a;;;
Keerklep:;;Opmerking:;;;;;;;
39;;Voedingskraan lekt!;;;;;;;
