;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: M. Gutte;;;;;;
Locatie: Nijvelt;;;Week 23, 2015;;;;;;
Adres: Heyendaalseweg 117, Nijmegen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;4e verd.;Gang bij lift;Brandslanghaspel;;;a;;;
2;3e verd.;Gang bij 324;Brandslanghaspel;;;×;;;
3;3e verd.;Gang bij 310;Brandslanghaspel;;;a;;;
4;3e verd.;Gang bij 304;Brandslanghaspel;;;×;;;
5;2e verd.;Gang bij 224;Brandslanghaspel;;;×;;;
6;2e verd.;Gang bij lift;Brandslanghaspel;;;×;;;
7;2e verd.;Gang bij 204;Brandslanghaspel;;;×;;;
8;1e verd.;Bij ingang Akkerwinde;Brandslanghaspel;;;×;;;
9;1e verd.;Akkerwinde bij 108;Brandslanghaspel;;;×;;;
10;1e verd.;Rozenhof gang;Brandslanghaspel;;;×;;;
11;1e verd.;Gang bij lift;Brandslanghaspel;;;×;;;
12;1e verd.;Gang Bosrank;Brandslanghaspel;;;a;;;
13;1e verd.;Gang bij 104;Brandslanghaspel;;;×;;;
14;B.G.;Gang bij 004;Brandslanghaspel;;;×;;;
15;B.G.;Gang bij badkamer;Brandslanghaspel;;;×;;;
16;B.G.;Bij lift;Brandslanghaspel;;;×;;;
17;B.G.;Kloostertuin bij 008;Brandslanghaspel;;;×;;;
18;B.G.;Ingang Rivierdal;Brandslanghaspel;;;×;;;
19;B.G.;Gang Rivierdal;Brandslanghaspel;;;×;;;
20;B.G.;Bij was en strijkkamer;Brandslanghaspel;;;×;;;
21;B.G.;Gang naar nieuwbouw;Brandslanghaspel;;In plafond;a;;;
22;B.G.;Noodunit bij WC;Brandslanghaspel;;In plafond;a;;;
23;B.G.;Restaurant;Brandslanghaspel;;In plafond;a;;;
24;1e verd.;Noodunit bij lift;Brandslanghaspel;;In plafond;a;;;
25;1e verd.;Noodunit gang;Brandslanghaspel;;;a;;;
26;8e verd.;Gang bij lift;Brandslanghaspel;EA;In BSH kast;a;;;
27;8e verd.;Gang;Brandslanghaspel;EA;In BSH kast;a;;;
28;7e verd.;Gang bij lift;Brandslanghaspel;EA;In BSH kast;a;;;
29;7e verd.;Gang bij dubbellift;Brandslanghaspel;EA;In BSH kast;a;;;
30;6e verd.;Gang bij lift;Brandslanghaspel;EA;In BSH kast;a;;;
31;6e verd.;Gang bij dubbellift;Brandslanghaspel;EA;In BSH kast;a;;;
32;5e verd.;Gang bij dubbellift;Brandslanghaspel;EA;In BSH kast;a;;;
33;5e verd.;Gang bij lift;Brandslanghaspel;;;×;;;
34;4e verd.;Gang bij lift;Brandslanghaspel;EA;In BSH kast;a;;;
35;4e verd.;Gang bij dubbellift;Brandslanghaspel;;;×;;;
36;3e verd.;Gang bij dubbellift;Brandslanghaspel;EA;In BSH kast;a;;;
37;3e verd.;Gang bij lift;Brandslanghaspel;EA;In BSH kast;a;;;
38;2e verd.;Gang bij lift;Brandslanghaspel;EA;In BSH kast;a;;;
39;2e verd.;Gang bij dubbellift;Brandslanghaspel;EA;In BSH kast;a;;;
40;1e verd.;Gang bij dubbellift;Brandslanghaspel;EA;In BSH kast;a;;;
41;1e verd.;Gang bij lift;Brandslanghaspel;EA;In BSH kast;a;;;
42;B.G.;Gang bij lift pantry;Brandslanghaspel;EA;In BSH kast;a;;;
43;B.G.;Gang bij computer;Brandslanghaspel;EA;In BSH kast;a;;;
44;-1;Tegenover lift;Brandslanghaspel;EA;In BSH kast;a;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
