;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: M. Gutte;;;;;;
Locatie: Sint Jozefklooster;;;Week 23, 2015;;;;;;
Adres: Kerkstraat 65, Nijmegen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;-1;Bij lift;Brandslanghaspel;EA;Werkplaats TD;a;Ø22;Cap;
2;-1;Bij bibliotheek;Brandslanghaspel;;;a;;;
3;-1;Bij trap;Brandslanghaspel;EA;Aan plafond;a;Ø22;Cap;
4;-1;Bij toilet;Brandslanghaspel;EA;Aan plafond;a;Ø22;Cap;
5;-1;Bij kapsalon;Brandslanghaspel;;;a;;;
6;-1;Bij wasserette ;Brandslanghaspel;EA;Aan plafond;a;Ø22;Cap;
7;B.G.;Bij eetzaal;Brandslanghaspel;;;×;;;
8;B.G.;Bij keuken;Brandslanghaspel;;;a;;;
9;B.G.;Bij receptie;Brandslanghaspel;;;a;;;
10;B.G.;Gang bij woonkamers;Brandslanghaspel;;;a;;;
11;B.G.;Tegenover mortuarium;Brandslanghaspel;;;a;;;
12;1e verd.;Bij lift;Brandslanghaspel;;;a;;;
13;1e verd.;Gang naar achterbouw;Brandslanghaspel;;;a;;;
14;1e verd.;Bij 111;Brandslanghaspel;;;×;;;
15;1e verd.;Bij dameskleedkamer;Brandslanghaspel;;;×;;;
16;1e verd.;Bij 116;Brandslanghaspel;;;×;;;
17;1e verd.;Bij 119;Brandslanghaspel;;;a;;;
18;2e verd.;Bij hal;Brandslanghaspel;;;a;;;
19;2e verd.;Bij 213;Brandslanghaspel;;;×;;;
20;2e verd.;Bij 216;Brandslanghaspel;;;×;;;
21;3e verd.;Bij 313;Brandslanghaspel;;;×;;;
22;3e verd.;Bij 316;Brandslanghaspel;;;×;;;
23;4e verd.;Bij 414;Brandslanghaspel;;;×;;;
24;4e verd.;Bij 412;Brandslanghaspel;;;×;;;
25;1e verd.;Gang (achterbouw);Brandslanghaspel;;;×;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
;;;;;;;;;
