;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;VSI;Naam monteur: ;Marty Gutte;;;;;
Locatie:;;;Week: ;Sept. 2015;;;;;
Adres: ;;Gildenstraat 14 Leerdam;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Ingang magazijn;bsh ;EA;in plafond hal;a;ø22;knel;
2;BG;;toevoer tapkraan;EA;aan plafond;a;ø22;knel;
3;BG;;toevoer ontharder;EA;aan plafond;a;ø28;knel;
4;BG;werkplaats TD;bsh ;EA;;a;ø22;knel;
5;BG;Fabriek meterkast;water-meter;EA;meterkast;a;DN40;schroef;
6;BG;Fabriek meterkast;bsh centraal fabriek;EA;meterkast;a;DN40;schroef;
7;BG;opslag bij grote ;;EA;;a;ø15;knel;
8;BG;opslag bij grote ;;EA;;a;ø15;knel;
9;BG;bij mengens;;EA;;a;ø15;knel;
10;BG;bij mengens;;EA;;a;ø15;knel;
11;1e;voorraad - machine ruimte;;EA;plafond;a;ø15;knel;
12;1e;voorraad - machine ruimte;;EA;plafond;a;ø15;knel;
13;1e;zolder lbk;;EA kw;vloer achteraan;a;ø15;;
14;1e;zolder lbk;;EA ww;vloer achteraan;a;ø15;;
15;1e;bij kantine;;EA;;a;ø15;;
16;1e;bij kantine;;EA;;a;ø15;;
17;1e;kantine;koffie automaat;EA;naast rookruimte;a;ø15;knel;
18;1e;kantine;bsh;EA;BG gang;a;ø22;knel;
Keerklep:;;Opmerking:;;;;;;;
;3;BA verreist ø28 1x ontharder;;;;;;;
;;;;;;;;;
