;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;VSI;Naam monteur: ;Marty Gutte;;;;;
Locatie:;;;Week: ;sept. 2015;;;;;
Adres: ;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
;;Gildenstraat 27 en 29;;;;;;;
1;BG;hal kantoor;BSH;EA;Cvkast 3e;a;ø28;cap;
2;BG;kantoor rechts;koffie automaat;EA;naast keuken;a;3/4;schroef;
3;BG;opslag;BSH;EA;onder bsh;a;ø22;knel;
4;BG;opslag;tapkraan;EA;onder kraan;a;3/4;schroefg;
5;BG;opslag/magazijn;BSH;EA;;a;42;knijp;
;;;;;;;;;
;;ambachtstraat 9 ;;;;a;;;
1;BG;meterkast;BSH;EA;in meterkast;a;ø28;knel;
;;;;;;;;;
;;ambachtstraat 7a;;;;;;;
1;BG;meterkast;bsh;ea;meterkast;a;ø22;knel;
2;BG;meterkast;buitenkraan;ea;meterkast;a;ø15;knel;
3;1e;meterkast;koffie automaat;ea;achter koffie automaat;a;;;
4;BG;meterkast;bsh;ea;plafond heren wc;a;ø22;cap;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;BSH's Gildenstraat 27 en 29 zitten op een klep.;;;;;;;
;;;;;;;;;
