;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Van Gog kwekerijen;Naam monteur: ;J Verhagen;;;;;
Locatie:;;Hotel;Week: ;Oktober, 2015;;;;;
Adres: ;;Zuidende 23, Helmond;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;4e;Tech. Ruimte;Circulatieleiding WW;EA;Onder pomp;a;;;
1a;4e;Tech. Ruimte;Boiler KW;EA;In Tech. Ruimte;a;;;
2;4e;Tech. Ruimte;BSH;EA;Voor BSH;a;;;
2a;4e;Tech. Ruimte;CV Vulkraan;EA;In Tech. Ruimte;a;;;
3;3e;Hal - Gang;BSH;EA;In Kast;x;;;
3a;3e;Hal - Gang;Tappant Tech. Ruimte;EA;In Kast;a;;;
4;2e;Hal - Gang;BSH;EA;In Kast;a;;;
5;1e;Hal - Gang;BSH;CA;In Kast;a;;;
6;BG;Hal - Gang;BSH;EA;In Kast;a;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;6;Geen afsluiter bij KK;;;;;;;
;;;;;;;;;
