;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Vivent;;;Naam monteur: J. Verhagen;;;;;;
Locatie: -;;;Mei 2015;;;;;;
Adres: Achterstraat 37b, Vlijmen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;;Brandslanghaspel;EA;achter BSH 1;a;;;
2;1e verd.;;Brandslanghaspel;EA;achter BSH 2;a;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
