;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Vivent;Naam monteur: ;J Nederkoorn;;;;;
Locatie:;;Maria oord Rosmalen;Week: ;November, 2015;;;;;
Adres: ;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
K- C;BG;Badkamer;H-L bad kw;EA;Achter bad;a;ø22;Knel;
K- C;BG;Badkamer;H-L bad ww;EA;Achter bad;a;ø22;Knel;
W- B;BG;Badkamer;H-L bad kw;RAM EA;Achter bad;a;ø22;Knel;
W- B;BG;Badkamer;H-L bad ww;RAM EA;Achter bad;a;ø22;Knel;
K- B;BG;Badkamer;H-L bad kw;RAM EA;Achter bad;a;ø22;Knel;
K- B;BG;Badkamer;H-L bad ww;RAM EA;Achter bad;a;ø22;Knel;
S- A;BG;Badkamer;H-L bad kw;EA;Achter bad;a;3/4'';Schroef;
S- A;BG;Badkamer;H-L bad ww;EA;Achter bad;a;3/4'';Schroef;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
;;;;;;;;;
