;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: M. Gutte;;;;;;
Locatie: OC kantoorpand;;;Week 30, 2015;;;;;;
Adres: Eemweg 2;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;2e verd.;Gang 5.04;Brandslanghaspelstrang;EA;;a;;;
2;2e verd.;Waskamer nr. 235;Wasmachine;DAEB;;a;;;
3;2e verd.;Keuken nr. 4.05;Koffieautomaat;EA;;a;;;
4;2e verd.;Keuken nr. 4.05;Vaatwasser;DAEB;;a;;;
5;2e verd.;Ruimte nr. 4.04;Close In Boiler;INCL;;a;;;
6;2e verd.;Ruimte nr. 4.02;Brandslanghaspel;;;×;;;
7;2e verd.;Ruimte nr. 2.04;Close In Boiler;INCL;;a;;;
8;2e verd.;Ruimte nr. 2.02;Brandslanghaspel;;;×;;;
9;BG;Ruimte nr. 0.09;Brandslanghaspel;;;a;;;
10;BG;Ruimte nr. 0.16;Koffieautomaat;EA;;×;;;
11;BG;Ruimte nr. 0.16;Vaatwasser;DAEB;;a;;;
12;BG;Ruimte nr. 0.16;Close In Boiler;INCL;;a;;;
13;-1;Ruimte s.02;Brandslanghaspel;EA;;a;;;
14;-1;Ruimte s.02;CV Vulkraan;CA;aan plafond;a;;;
15;-1;td ruimte nr. 7;Uitstortgootsteen;CA;;a;;;
16;;Ruimte 1.04;Brandslanghaspel;;;a;;;
17;;Ruimte 3.04;Brandslanghaspel;;;a;;;
Keerklep:;;Opmerking:;;;;;;;
1+16+17;;Zitten op één strang;;;;;;;
