;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: M. Gutte;;;;;;
Locatie: Park De Grevelingen;;;Week 29, 2015;;;;;;
Adres: Den Bosch;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Werkplaats;Voeding koudwater;EA;Naast hoofdkraan;a;Ø54;Pers;
2;BG;Gang bij GR011;Brandslanghaspel;onbekend;onbekend;a;;niet zichtbaar;
3;BG;Gang bij Pantry 76;Brandslanghaspel;EA;Plafond;a;Ø22;Knel;
3a;BG;Gang bij Pantry 76;Voeding;EA;Plafond;a;Ø15;Knel;
4;BG;In pantry 76;Vaatwasser;CA;In kast;a;Ø3/4;Schroef;
5;BG;In pantry 76;Boiler;Inlaatcombi;In kast;a;Ø15;Knel;
5a;BG;In pantry 76;Koffieautomaat;EA;Op werkblad;a;Ø15;Knel;
6;BG;Gang bij toilet 88;Brandslanghaspel;EA;Onder brandslanghaspel;a;Ø22;Knel;
7;BG;Fysiotherapie;Boiler;Inlaatcombi;Bij boiler onder wastafel;×;Ø15;Knel;
7a;BG;Fysio kantoor;Boiler;EA;Keuken;a;Ø15;Knel;
8;BG;Gang bij toilet gr 027;Brandslanghaspel;onbekend;onbekend;a;;niet zichtbaar;
9;BG;Wasruimte;Koudwater;DAEB;onbekend;a;;1/2 schroef;
10;BG;Wasruimte;Warmwater;EA;onbekend;a;;3/4 schroef;
11;BG;Keuken;Brandslanghaspel;onbekend;onbekend;a;;niet zichtbaar;
12;BG;Keuken;Steamer;EA;Boven steamer;a;3/4;Schroef;
12a;BG;Keuken;Steamer;EA;;a;3/4;Schroef;
13;BG;Keuken;Steamer;DAEB;Boven steamer;a;1/2;Schroef;
14;BG;Keuken;Spoelkraan koudwater;onbekend;onbekend;a;;niet zichtbaar;
15;BG;Keuken;Spoelkraan warmwater;onbekend;onbekend;a;;niet zichtbaar;
16;BG;Spoelkeuken;Spoelkraan koudwater;onbekend;onbekend;a;;niet zichtbaar;
17;BG;Spoelkeuken;Spoelkraan warmwater;onbekend;onbekend;a;;niet zichtbaar;
18;BG;Spoelkeuken;Handwasbak;onbekend;Onder wasbak;a;;niet zichtbaar;
19;BG;Personeelskantine;Koffieautomaat;DAEB;Achter automaat;a;3/4;Schroef;
20;BG;Technische ruimte GR-nb;Toevoer koudwater;EA;Technische ruimte;a;;;
21;1e verd.;Gang GR;Brandslanghaspel;EA;Plafond gang;a;;;
24;1e verd.;Gang bij nr. 74 F;Brandslanghaspel (4x);EA;In plafond begane grond bij steunpunt;a;Ø28;Knel;
25;2e verd.;GR NB 2.08;Voeding boiler;EA;In leidingschacht;a;Ø28;Knel;
26;2e verd.;Technische ruimte gr nb 2.09;CV vulkraan;CA;;a;1/2;Schroef;
27;2e verd.;Technische ruimte gr nb 2.09;Boiler;Inlaatcombi;Op boiler;a;Ø22;Knel;
27a;2e verd.;Technische ruimte;Circu-leiding;EA;Boven boiler;×;Ø15;Knel;
28;3e verd.;Technische ruimte gr nb 3.08;CV vulkraan;EA;In leidingschacht;a;Ø28;Knel;
29;3e verd.;Gr NB 3.09;CV vulkraan;DAEB;In kraan;a;1/2;Schroef;
30;BG;Naast keuken;Buitenkraan;EB;Buiten bij kraan;a;1/2;Schroef;
31;BG;Terras voorzijde;Buitenkraan;onbekend;onbekend;a;;niet zichtbaar;
32;5e verd.;Ketelhuis;Voeding boiler;EA;Naast boiler;a;Ø42;CAP;
34;BG;Keuken gr 055;Ontharder;CA;Hok buiten bij keuken;a;;;
36;5e verd.;Technische ruimte;Circu-leiding;EA;;a;Ø22;Knel;
37;5e verd.;Technische ruimte;Circu-leiding;EA;;a;Ø22;Knel;
38;5e verd.;Technische ruimte;Circu-leiding;EA;;×;Ø28;Knel;
39;BG;Grand café;Vaatwasser;CA;Achter plank;a;1/2;Schroef;
40;BG;Grand café;Koffieautomaat;EA;Achter plank;a;3/4;Schroef;
41;5e verd.;Technische ruimte;Vulkraan;CA;;a;3/4;Schroef;
42;BG;Kapper;Boiler;Inlaatcombi;Achter stoel;a;;;
43;BG;Kapper;Boiler;Inlaatcombi;Keuken;a;;;
44;BG;Kapper;Boiler;Inlaatcombi;Naast sauna;a;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
