;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: J. Nederkoorn;;;;;;
Locatie: PI Grave, Afdeling M;;;Week: 35 2015;;;;;;
Adres: Muntlaan 1, Grave;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;1e verd.;Afdeling M 1.31;Brandslanghaspel 2x;EA;Boven brandslanghaspel 1e verd.;a;3/4 bi;Schroef;
2;B.G.;Afdeling M 0.22;Close in Boiler;EA;In kast;a;Ø15;Knel;
3;B.G.;Afdeling M 1,36;Brandslanghaspel 113;EA;Boven brandslanghaspel ;a;3/4 bi;Schroef;
4;B.G.;Afdeling M 0.38;Zeepdispenser;CA;Naast automaat;a;Ø15;Knel;
5;B.G.;Afdeling M 0.38;Close in Boiler;EA;Onder blad;a;Ø15;Knel;
6;B.G.;Afdeling M 0.38;Wasmachine;EA;Boven kraan;a;Ø15;Knel;
7;B.G.;Afdeling M 0.02;Mengventiel kw;EA;Boven plafond;a;1/2 bi;Schroef;
8;B.G.;Afdeling M 0.02;Mengventiel ww;EA;Boven plafond;a;1/2 bi;Schroef;
9;B.G.;Afdeling M 0.01;Zeepautomaat;CA;Onder blad;a;Ø15;Knel;
10;B.G.;Afdeling M 0.01;Wasautomaat;EA;Onder blad;a;Ø15;Knel;
11;B.G.;Afdeling M 0.01;Close in Boiler;EA;Onder blad;a;Ø15;Knel;
12;1e verd.;Afdeling M 1.34;Zeepautomaat;EA;Naast wasbak;a;Ø15;Knel;
13;1e verd.;Afdeling M 1.34;Tapkraan;EA;Onder wasbak;a;Ø15;Knel;
14;1e verd.;Afdeling M 1.36;Brandslanghaspel 115 (2x);EA;Tegen plafond;a;3/4 bi;Schroef;
15;B.G.;Afdeling M 0.33;Buitenkraan;EA;In plafond M 0.33;a;Ø22;Knel;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
