;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant:;Kemkens;;Naam monteur: J. Nederkoorn;;;;;;
Locatie:;PI Vught - gebouw 93;;Week 21, 2015;;;;;;
Adres:;Lunettenlaan 501, Vught;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
93kw0035 kk/01;B.G.;Remise;Brandslanghaspel 3;Ram EA;Boven BSH;a;Ø22;Knel;
93kw0032 bl/01;B.G.;Schoonmaakruimte ;Close-up boiler;Inlaatcombi;Boven boiler;a;Ø15;Knel;
93kw0036 kk/01;B.G.;Brandweer pakruimte;Wasmachine's;Ram EA;Tegen plafond;a;Ø22;Knel;
93kw0035 kk/02;B.G.;Remise brandweer;Voeding BSH;Ram EA;Tegen muur;a;Ø28;Knel;
93kw1105 kk/01;1e verd.;Koffieautomaat;Koffieautomaat;EA;Achter automaat;a;Ø15;Knel;
93kw1118 kk/01;1e verd.;Schoonmaakruimte ;Close-up boiler;Inlaatcombi;Bij boiler;a;Ø15;Knel;
93kw1105 kk/02;1e verd.;Gang;Brandslanghaspel 6;Ram EA;Boven BSH;a;Ø22;Knel;
93kw1115 kk/01;1e verd.;Technische ruimte boiler;Mengventiel kw;REA;Onder boiler;a;Ø15;Cap;
93ww1115 kk/01;1e verd.;Technische ruimte boiler;Mengventiel ww;Ram EA;Onder boiler;a;Ø15;Knel;
93kw1115 kk/02;1e verd.;Technische ruimte boiler;Voeding boiler;Inlaatcombi;Onder boiler;a;Ø15;Knel;
93kw0025 kk/01;B.G.;Gang oefencellen;Brandslanghaspel 7;EA;Boven BSH;a;Ø22;Knel;
93kw002 kk/01;B.G.;Gang kantoren magazijn;Brandslanghaspel 11;Ram EA;Boven BSH;a;Ø22;Knel;
93kw005 kk/01;B.G.;Hal kantoren achter;Koffieautomaat;EA;Naast automaat;a;Ø15;Knel;
93kw014 kk/01;B.G.;Keuken kantoren;Close-up boiler;Inlaatcombi;In keukenkast;a;Ø15;Knel;
93kw0001 kk/01;B.G.;Magazijn voor;Brandslanghaspel 13;Ram EA;Boven BSH;a;Ø22;Knel;
93kw0001 kk/02;B.G.;Magazijn achter;Brandslanghaspel 14;Ram EA;Boven BSH;a;Ø22;Knel;
93kw0019 kk/01;B.G.;Technische kast gang;CV vulkraan;Ram EA;In verdeelkast;a;Ø15;Knel;
93kw0019 kk/02;B.G.;Technische kast gang;Voeding kw;EA;In verdeelkast;a;Ø35;Cap;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
