;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;   Naam monteur: J. Nederkoorn;;;;;;
Locatie: PI Vught - Unit 4 gebouw 105;;;Week 24 2015;;;;;;
Adres: Lunettenlaan 501, Vught;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
105kw002 kk/01;B.G.;Gang bij 105.0.14;Koffieautomaat;EA;In plafond;a;Ø15;Knel;
105kw008c kk/01;B.G.;Meterkast;Voeding kw;EA;In kast links;a;Ø28;Cap;
105kw008c kk/02;B.G.;Meterkast;Voeding kw;EA;In kast rechts;a;Ø28;Cap;
105kw008c kk/03;B.G.;Meterkast;Hoofd voeding kw;EA;In kast onder;a;Ø35;Cap;
105kw1.11 kk/01;1e verd.;T.D. herenkleedkamer;Mengventiel kw;EA;In T.D. ruimte;a;Ø15;Cap;
105ww1.11 kk/01;1e verd.;T.D. herenkleedkamer;Mengventiel ww;EA;In T.D. ruimte;a;Ø15;Cap;
105kw1.11 kk/02;1e verd.;T.D. herenkleedkamer;Vulkraan;CA;In T.D. ruimte;a;1/2"bi;Schroef;
105ww1.11 kk/02;1e verd.;T.D. herenkleedkamer;Circulatie;EA;In leiding boiler;r;Ø15;Knel;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
