;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;   Naam monteur: J. Nederkoorn;;;;;;
Locatie: PI Vught - Unit 4 (gebouw 87 & 89);;;Week 24 2015;;;;;;
Adres: Lunettenlaan 501, Vught;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
89kw016 kk/01;B.G.;Gang gebouw 89;Buitenkraan;Ram EA;Gang tegen plafond;a;Ø15;Knel;
89kw009 kk/01;B.G.;Gang gebouw 89;Brandslanghaspel 5;Ram EA;Tegen plafond;a;Ø22;Knel;
89kw017 bl/01;B.G.;Muzieklokaal;Boiler;EA;In kraan;a;Ø15;Knel;
89kwiso kk/01;B.G.;ISO;Brandslanghaspel 7;;;a;;;
89kwiso kk/01;1e verd.;Techn. Ruimte gebouw 89 iso;Voeding koudwater;Ram EA;In T.D. ruimte iso;a;Ø22;Knel;
87kw327 kk/01;3e verd.;Gang 3e verdieping;Brandslanghaspel 1;EA;In ketelhuis;a;Ø22;Cap;
87ww3029 kk/01;3e verd.;Ketelhuis technische dienst;Mengkraan ww;EA;Boven mengkraan;a;Ø15;Knel;
87kw3029 kk/02;3e verd.;Ketelhuis technische dienst;CV Vulkraan;CA;Boven kraan;a;Ø15;Knel;
87ww3029 kk/03;3e verd.;Ketelhuis technische dienst;Voeding boiler;EA;Naast boiler;a;Ø28;Cap;
87kw001 kk/01;;Schoonmaak;Buitenkraan;EA;In kast;a;Ø1/2";Schroef;
87kw007 kk/01;B.G.;Gang 4 I;Brandslanghaspel;EA;Onder BSH;a;3/4";Schroef;
87kw018 kk/01;B.G.;T.D. ruimte 4 I;Voeding kw;EA;In T.D. ruimte;a;Ø42;Cap;
88kw007 kk/01;B.G.;Gang 4J;Brandslanghaspel;EA;In kast BSH;a;3/4";Schroef;
89kw102 kk/01;1e verd.;Crea;Brandslanghaspel;Ram EA;In gang begane grond;a;Ø22;Knel;
89kw102 kk/02;1e verd.;Crea;Boiler;Inlaatcombi;In kast;r;Ø15;Knel;
87kw126 kk/01;1e verd.;Vergaderzaal;Koffieautomaat;EA;Naast automaat;a;Ø15;Knel;
87kw3031 kk/01;3e verd.;Keuken M.D.;Boiler;Inlaatcombi;In kast keuken;a;Ø15;Knel;
88kw1008 kk/01;1e verd.;Gang 4L;Brandslanghaspel;EA;In kast BSH;a;3/4";Schroef;
87cw3029 kk/01;;;;;;;;;
87kw1007 kk/01;1e verd.;Gang 4K;Brandslanghaspel;EA;In kast BSH;a;3/4";Schroef;
88kw2008 kk/01;2e verd.;Gang 4N;Brandslanghaspel;EA;In kast BSH;a;3/4";Schroef;
87kw2007 kk/01;2e verd.;Gang 4M;Brandslanghaspel;EA;In kast BSH;a;3/4";Schroef;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
87cw3029 kk/01;;Niet te controleren i.v.m. afsluiter plaatsen voor keerklep.;;;;;;;
