;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;   Naam monteur: J. Nederkoorn;;;;;;
Locatie: PI Vught - Unit 5 EBI;;;Week 27, 2015;;;;;;
Adres: Lunettenlaan 501, Vught;;;Complexnr: 100191G04;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
82kwE001 kk/01;B.G.;Remise;Brandslanghaspel 1;;;a;;;
82kwE003 kk/01;B.G.;Kleedkamer heren;Brandslanghaspel 38;;;a;;;
82kwE045 kk/01;B.G.;Visitatie;Brandslanghaspel 37;;;a;;;
82kwE024 kk/01;B.G.;Gang bij lift;Brandslanghaspel 2;;;a;;;
82kwE012 kk/01;B.G.;Gang bij sport;Brandslanghaspel 6;;;a;;;
82kwE012 kk/02;B.G.;Hal sluis bezoek;Brandslanghaspel 5;;;a;;;
82kwE102 kk/01;1e verd.;Gang bij lift;Brandslanghaspel 7;;;a;;;
82kwE137 kk/01;1e verd.;Gang bezoek gedetineerde;Brandslanghaspel 16;;;a;;;
82kwE125 kk/01;1e verd.;Hal vergaderzaal bezoek;Brandslanghaspel 15;;;a;;;
82kwE116 kk/01;1e verd.;Gang bezoek 3-4;Brandslanghaspel 14;;;a;;;
82kwE143 kk/01;1e verd.;Gang MD iso;Brandslanghaspel 8;;;a;;;
82kwE145 kk/01;1e verd.;Iso cel 4-3;Spoelbak;EA;In TD ruimte;a;Ø22;Cap;
82kwE145 kk/02;1e verd.;Gang iso;Vulkraan;CA;In TD ruimte;a;Ø15;Knel;
82kwE145 kk/03;1e verd.;Iso cel 2-1;Spoelbak;EA;In TD ruimte;a;Ø22;Cap;
82kwE225 kk/01;2e verd.;Keuken kantoren;Koffieautomaat;EA;In keukenkast;a;Ø15;Knel;
82kwE215 kk/01;2e verd.;Gang kantoren;Brandslanghaspel 18;;;a;;;
82kwE215 kk/02;2e verd.;Gang kantoren;Brandslanghaspel 20;;;a;;;
82kwE233 kk/01;2e verd.;Ketelhuis;CV Vulkraan;EA;Boven kraan;a;Ø22;Knel;
82kwE233 kk/02;2e verd.;Ketelhuis;CV Vulkraan;CA;Boven kraan;a;3/4";Schroef;
82kwE233 kk/03;2e verd.;Ketelhuis;Circulatie;EA;Naast boiler;a;Ø22;Cap;
82kwE232 kk/01;2e verd.;T.D. ruimte;Luchtbevochtiger;EA;Tegen plafond;a;Ø15;Knel;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
