;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Gemeente Oss;;;Naam monteur: Marty Gutte;;;;;;
Locatie: Algemene begraafplaats;;;Datum: November, 2015;;;;;;
Adres: Lindenstraat 22, Oss;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF)
1;;werkplaats cv kast;vulkraan;CA;;;JA;Ø15;knel
2;;werkplaats cv kast;inlaatcombinatie;EA;;;JA;Ø15;knel
3;;werkplaats cv kast;kw leiding buitenkranen;EA;;;JA;Ø22;knel
4;;werkplaats  ;brandslanghaspel;EA;;;JA;Ø22;knel
5;;werkplaats;buitenkraan;EA;;;JA;Ø15;knel
6;;aula;boiler;EA;;;JA;Ø15;knel
7;;aula;vulkraan;EA;;;JA;1/2;schroef
Opmerkingen:;;;;;;;;;
;;;;;;;;;
