;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens - Gemeente Oss;;;Naam monteur: Marty Gutte;;;;;;
Locatie: BSO rotsvlinder / scouting;;;Week: November, 2015;;;;;;
Adres: Gemertstraat 6, Oss;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Meterput;Watermeter;EA;In put;a;Ø28;Knel;
2;BG;CV kast;Vulkraan;EA;In CV kast;a;1/2;Schroef;
3;BG;Keuken;Boiler;EA;In keukenkast;a;Ø15;Knel;
4;BG;Keuken;Vaatwasser;DA-EB;In keukenkast;a;1/2;Schroef;
5;BG;Gang;Brandslanghaspel;;;a;;;
6;BG;Scouting;Ketel;EA;WC naast scouting;a;Ø15;Knel;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
