;;;Onderhoudsrapport;;;;;;;
;;;;;;;;;;
;;;BCO Brandpreventie;;;;;;;
;;;Galliershof 22;;;;;;;
;;;5349 BV Oss;;;;;;;
;;;;;;;;;;
Klant: Gemeente Oss;;;Naam monteur: Marty Gutte;;;;;;;
Locatie: Brandweer Oss;;;Datum: November, 205;;;;;;;
Adres: Weth van eschstraat 260, Oss;;;;;;;;;;
;;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;;buiten achter;buitenkraan;EA;;In gevaarlijke stoffenkast;JA;Ø22;knel;
3;;slang machine;kw kraan;;;;JA;1/2;schroef;
4;;washok;wm;CA;;;JA;Ø15;knel;
6;;washok;boiler;EA;;;JA;Ø15;knel;
7;;wagenstalling;brandslanghaspel;;;;JA;;;
8;;wagenstalling;slanghaspel;EA;;;JA;Ø22;knel;
9;;douche;wm;EA;;;JA;1/2;schroef;
10;;douche;haspel kw;;;;JA;Ø22;;
11;;gang bij herentoilet;brandslanghaspel;;;;JA;;;
12;;kantine;koffie apparaat;;;;JA;3/4;schroef;
13;;keuken;vw;EA;;;JA;1/2;schroef;
14;;opslag keuken;bierspoelkraan;EA;;;JA;1/2;schroef;
15;;opslag keuken;kw kraan;EA;;;JA;3/4;schroef;
16;;garage;kw kraan;;;;JA;3/4;schroef;
17;;garage;slanghaspel;;;In kruipruimte;JA;Ø22;;
18;;garage;brandslanghaspel;EA;;;JA;Ø22;knel;
1;;garage;kw kraan;;;;JA;1/2;schroef;
19;;gang;brandslanghaspel;;;;JA;;;
20;;pantry;koffie apparaat;EA;;;JA;1/2;schroef;
21;;pantry;koeler;EA;;;JA;1/2;schroef;
1;;pantry;Boiler;EA;;;JA;Ø15;knel;
22;;boilerhok;circulatieleiding;;;;JA;Ø15;knel;
23;;boilerhok;inlaat combinatie;EA;;;JA;Ø22;knel;
24;;boilerhok;kw kraan;CA;;;JA;Ø15;knel;
25;;Washoek;Wasmachine;DAEB;;;JA;1/2'';Schroef;
26;;Washoek;Wasmachine;DAEB;;;JA;1/2'';Schroef;
27;;Washoek;Wasmachine;DAEB;;;JA;1/2'';Schroef;
28;;Washoek;Wasmachine;DAEB;;;JA;1/2'';Schroef;
