;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Gemeente Oss;;;Naam monteur: Marty Gutte;;;;;;
Locatie: De Binnenstad;;;Datum: November, 2015;;;;;;
Adres: St. Barberaplein 6, Oss;;;Complexnr: ;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF)
1;;pantry digibuurt;boiler;EA;;;JA;Ø15;knel
2;;pantry zaal 2;boiler;EA;;;JA;Ø15;knel
3;;zaal1;BSH;;;;JA;;
4;;keuken;VW;CA;;;JA;Ø15;knel
5;;;boiler;EA;;;JA;Ø15;knel
6;;egalite keuken;boiler;EA;;;JA;Ø15;knel
7;;hal;BSH;EA;;;JA;Ø22;knel
8;;berging bij hal;bierspoeler;EB;;;JA;1/2;schroef
9;;;tapkraan kw;EA;;Op zolder;JA;Ø15;knel
10;;cv ruimte;vulkraan;CA;;;JA;Ø15;knel
11;;hal;watermeter;EA;;;JA;;
Opmerkingen:;;;;;;;;;
;;;;;;;;;
;Keerklep 10: stopkraan voor CA-klep plaatsen ivm testen.;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
