;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Gemeente Oss;;;Naam monteur: Marty Gutte;;;;;;
Locatie: De Hoeve;;;Datum : November, 2015;;;;;;
Adres: Pastoor van Hapertstraat 1, Lith;;;Complexnr: C38034;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF)
1;;Keuken;Koffieapparaat bar;EA;;;JA;Ø15;knel
2;;Keuken;Bierspoelkraan;EA;;;JA;Ø15;knel
3;;Keuken;Ijsblokmachine;EA;;;JA;Ø15;knel
4;;Keuken;Waterontharder;CA;;In keukenkast;JA;Ø15;knel
5;;Hal bij trap;Brandslanghaspel;;;;JA;;
6;;Keuken;Boiler;EA;;;JA;Ø15;knel
7;;Bar;Brandslanghaspel;;;;JA;;
8;;Grote zaal;Brandslanghaspel;;;;JA;;
9;;Grote zaal;Brandslanghaspel;;;;JA;;
10;;Opslag bij grote zaal;kw tapkraan;;;;JA;3/4;Schroef
11;;Opslag bij grote zaal;kw tapkraan;;;;JA;3/4;Schroef
12;;Opslag bij grote zaal;kw tapkraan;;;;JA;1/2;Schroef
13;;Ketelhok;Vulkraan ;CA;;;JA;1/2;Knel
14;;Kleine zaal;Brandslanghaspel;;;;JA;;
15;;Toevoer kw bar;Koffieapparaat;EA;;;JA;Ø15;knel
16;;Kelder zaaltje;Brandslanghaspel;;;;JA;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
