;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Gemeente Oss;;;Naam monteur: Marty Gutte;;;;;;
Locatie: De Koppellinck;;;Datum: December, 2015;;;;;;
Adres: Kloosterstraat 4, Oss;;;Complexnr: ;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF)
1;BG;Ingang;BSH;;EA;;a;;
2;BG;Bij klas 38;BSH;;EA;;a;;
3;BG;Achter Trap;BSH;;EA;;a;;
4;BG;Bij klas 28;BSH;;EA;;a;;
5;BG;Minder Valide Toilet;Boiler;EA;EA;Onder Boiler;a;ø15;Knel
6;BG;Achter Podium;Boiler;EA;EA;Onder Boiler;a;ø15;Knel
7;BG;Achter Podium;Wasmachine;DA-EB;DA-EB;;a;1/2'';Schroef
8;BG;Achter Bar;Boiler;EA;EA;In Kast;a;ø15;Knel
9;BG;Bij deur 8;BSH;;EA;;a;;
10;1e;Bij trap;BSH;;EA;;a;;
11;1e;Kantoor;BSH;;EA;;a;;
12;1e;Kantoor Keuken;Boiler;EA;EA;In Kast;a;ø15;Knel
13;1e;Kantoor Keuken;Koffie Apparaat;EA;EA;In Kast;a;3/4'';Schroef
14;1e;Bij klas 59;BSH;;EA;;a;;
15;1e;Bij Lokaal 44;BSH;;EA;;a;;
16;1e;Keuken;Koffie Apparaat;EA;EA;In Kast;a;3/4'';Schroef
17;1e;Keuken;Boiler;EA;EA;In Kast;a;ø15;Knel
18;BG;Gang bij klas 22;BSH;;EA;;a;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
