;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Gemeente Oss;;;Naam monteur: Marty Gutte;;;;;;
Locatie: Dorpshuis de Bongerd;;;Datum: November, 2015;;;;;;
Adres: Hoogstraat 5a, Macharen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF)
1;;hal meter put;watermeter;EA;;;JA;;
2;;hal meter put;watermeter;EA;;;JA;Ø28;knel
3;;hal meter put;watermeter;EA;;;JA;Ø22;knel
4;;hal meter put;watermeter;EA;;;JA;Ø22;knel
5;;hal meter put;watermeter;EA;;;JA;Ø22;knel
6;;hal meter put;watermeter;EA;;;JA;Ø15;knel
7;;keuken bijhal;VW;EA;;;JA;1/2;schroef
8;;keuken bijhal;boiler;EA;;;JA;Ø15;knel
9;;hal;brandslanghaspel;EA;;;JA;;
10;;gymzaal;brandslanghaspel;EA;;;JA;;
11;;gymzaal;kw kraan;EA;;;JA;3/4;schroef
12;;kleedkamer gasten;kw kraan;EA;;;JA;3/4;schroef
13;;kleedkamer gasten;inlaat-combinatie;EA;;;JA;Ø15;knel
14;;kleedkamer gasten;circulatieleiding;EA;;;JA;Ø15;knel
15;;cv hok in keuken;vulkraan;EA;;;JA;Ø15;knel
16;;cv hok in keuken;inlaat-combinatie;;;;JA;Ø15;knel
17;;kantine bar;kw kraan;EA;;;JA;1/2;schroef
18;;kantine bar;kw kraan;EA;;;JA;3/4;schroef
19;;hal bso-kantine;kw kraan;EA;;;JA;3/4;schroef
20;;bso keuken;boiler;;;;JA;Ø15;knel
21;;bso;BSH;;;;JA;;
22;;bso slaapkamer ;boiler;;;;JA;Ø15;knel
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
