;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: M. Gutte;;;;;;
Locatie: BSO;;;Week: 50 2014;;;;;;
Adres: Joeri Gagarinstraat 13, Berghem;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Hal;Brandslanghaspel;EA;In plafond;a;Ø22;Cap;
2;B.G.;Keuken;Vaatwasser;DA-EB;In keukenkast;a;1/2;Schroef;
3;B.G.;Ketelhok;Inlaatcombinatie;EA;Onder ketel;a;Ø15;Knel;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
