;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens - Gemeente Oss;;;   Naam monteur: M. Gutte;;;;;;
Locatie: BSO Schaepskooi Oss;;;Week: 44 2014;;;;;;
Adres: Oss;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Buiten CV hok;Vulkraan;EA;;JA;Ø15;Knel;
2;B.G.;Buiten CV hok;Inlaat-combi;EA;;JA;Ø15;Knel;
3;B.G.;Gang;BSH;EA;Aan plafond;JA;Ø28;CAP;
4;B.G.;Keuken;Vaatwasser;EA;Achter vaatwasser;JA;3/4;Schroef;
6;B.G.;Washok;Wasmachine;EA;Achter wasmachine;JA;3/4;Schroef;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
