;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens - Gemeente Oss;;;   Naam monteur: M. Gutte;;;;;;
Locatie: PSZ de Speeltol Lithoijen;;;Week: 44 2014;;;;;;
Adres:  Langwijkstraat 6-A Lithoijen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Gang;BSH;;;JA;;;
2;B.G.;Ketelkast;Vulkraan;;;JA;1/2;Schroef;
3;B.G.;Ketelkast;Inlaat-combi;;;JA;Ø15;Knel;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
