;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens - Gemeente Oss;;;   Naam monteur: M. Gutte;;;;;;
Locatie: Milieustraat;;;Week: November, 2015;;;;;;
Adres: Maaskade 28, Oss;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Keuken;Watercooler;EA;In kast;JA;3/4'';Schroef;
2;B.G.;Keuken;Vaatwasser;DA-EB;In kast;JA;1/2;Schroef;
3;B.G.;Boilerkast;Boiler;EA;In boilerkast;JA;Ø15;Knel;
4;B.G.;Kantoor ingang vuilstort;Boiler;EA;In Kast ;JA;Ø15;Knel;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
