;;;Onderhoudsrapport;;;;;;;
;;;;;;;;;;
;;;BCO Brandpreventie;;;;;;;
;;;Galliershof 22;;;;;;;
;;;5349 BV Oss;;;;;;;
;;;;;;;;;;
Klant: Gemeente Oss;;;Naam monteur: Marty Gutte;;;;;;;
Locatie: Soos Krinkelhoek;;;Datum: December, 2015;;;;;;;
Adres: Oijenseweg 3 ;;;Complexnr: ;;;;;;;
;;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;cv ruimte buiten;vulkraan;CA;;;JA;1/2;knel;
2;BG;hal;water-meter;CA;;;JA;;;
3;BG;hal;BSH;;;;NEE;;;
4;BG;bar;kw kraan;EA;;;JA;1/2;schroef;
5;BG;bar;kw kraan;EA;;;JA;1/2;schroef;
6;BG;opslagkast bar;boiler;EA;;;JA;Ø15;knel;
7;BG;bar;kw leiding;EA;;;JA;Ø15;knel;
8;BG;bar;boiler;EA;;;NEE;Ø15;knel;
9;BG;keuken bar;VW;EA;;;JA;1/2;schroef;
10;BG;keuken bar;kw leiding;EA;;;JA;Ø15;knel;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
