;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Schakelring;Naam monteur: ;J Verhagen;;;;;
Locatie:;;Spoorwiel;Week: ;December, 2015;;;;;
Adres: ;;Burgemeester Verwielstraat 2, Waalwijk;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Tech. Ruimte;CV Vulkraan;CA;Tegen Muur;a;;;
2;BG;Tech. Ruimte;Gevelkraan;EA;Tegen Muur;a;;;
3;BG;Tech. Ruimte;WW Circulatie;EA;Bij Plafond;a;;;
4;BG;PG Rechts;BSH;EA;Onder BSH;a;;;
5;BG;PG Links;BSH;EA;Onder BSH;a;;;
6;BG;Badkamer Algemeen;Toevoer WW;EA;Achter bad;a;;;
7;BG;Badkamer Algemeen;Toevoer KW;EA;Achter bad;a;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
;;;;;;;;;
